De ref,school name,management type,constituency,total enrolment,nearest_school,nearest_management_type,nearest_distance,area
1016532,"Wheatfield Primary School, Belfast",Controlled,Belfast North,176.0,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,0.3,0.3
1016537,"Lowwood Primary School, Belfast",Controlled,Belfast North,243.0,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,0.8,1.9
1016604,"Harmony Primary School, Belfast",Controlled,Belfast West,270.0,"Mercy Primary School, Belfast",Catholic Maintained,0.8,2.1
1016647,"Bunscoil Mhic Reachtain, Belfast",Controlled,Belfast North,50.0,"St Patrick's Primary School, Belfast",Catholic Maintained,0.4,0.6
1016655,Victoria Park Primary School,Controlled,Belfast East,373.0,"Dundela Infants Primary School, Belfast",Controlled,0.6,1.3
1030194,"Holy Cross Boys' Primary School, Belfast",Catholic Maintained,Belfast North,397.0,"Edenbrooke Primary School, Belfast",Controlled,0.6,1.0
1030313,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,Belfast North,623.0,Ben Madigan Preparatory School,Voluntary,0.3,0.3
1030326,"Our Lady's Primary School, Belfast",Catholic Maintained,Belfast North,193.0,"Carr's Glen Primary School, Belfast",Controlled,0.5,0.8
1030327,"Holy Rosary Primary School, Belfast",Catholic Maintained,Belfast South,470.0,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.8,1.8
1030331,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,Belfast North,192.0,"Wheatfield Primary School, Belfast",Controlled,0.3,0.3
1030868,"St Anne's Primary School, Belfast",Catholic Maintained,Belfast South,887.0,Dunmurry Primary School,Controlled,0.9,2.7
1036041,"Mercy Primary School, Belfast",Catholic Maintained,Belfast North,241.0,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,0.3,0.4
1036042,St Vincent de Paul Primary School,Catholic Maintained,Belfast North,288.0,"Ligoniel Primary School, Belfast",Controlled,0.4,0.4
1036048,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,Belfast North,138.0,Ben Madigan Preparatory School,Voluntary,0.7,1.8
1036075,"St Bride's Primary School, Belfast",Catholic Maintained,Belfast South,838.0,"Fullerton House Preparatory School, Belfast",Voluntary,0.6,1.2
