De ref,school name,management type,constituency,total enrolment,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,area
4031350,"St Malachy's Primary School, Kilclief",Catholic Maintained,South Down,36.0,6.5,Portaferry Integrated Primary School,Controlled Integrated,133.2
2036105,"St Martin's Primary School, Garrison",Catholic Maintained,Fermanagh And South Tyrone,107.0,6.5,Belleek No 2 Primary School,Controlled,134.3
5011684,"Annalong Primary School, Newry",Controlled,South Down,203.0,6.6,"St Columban's Primary School, Kilkeel",Catholic Maintained,135.4
3010842,"William Pinkerton Memorial Primary School, Ballymoney",Controlled,North Antrim,89.0,6.6,Ballymoney Model Controlled Integrated Primary School,Controlled Integrated,135.9
3010570,"Straid Primary School, Ballyclare",Controlled,South Antrim,18.0,6.6,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,137.7
3010745,"Loanends Primary School, Crumlin",Controlled,South Antrim,184.0,6.8,Mallusk Controlled Integrated Primary School,Controlled Integrated,145.2
3010878,"Kilmoyle Primary School, Ballymoney",Controlled,North Antrim,111.0,6.9,Ballymoney Model Controlled Integrated Primary School,Controlled Integrated,148.0
5036099,"St Patrick's Primary School, Cullyhanna",Catholic Maintained,Newry And Armagh,227.0,6.9,"Cortamlet Primary School, Altnamackin",Controlled,149.4
5032703,"St Peter's Primary School, Moortown",Catholic Maintained,Mid Ulster,162.0,7.0,Coagh Primary School,Controlled,153.0
3010754,"Doagh Primary School, Ballyclare",Controlled,South Antrim,134.0,7.0,Mallusk Controlled Integrated Primary School,Controlled Integrated,155.7
4011566,"Ballywalter Primary School, Ballywater",Controlled,Strangford,157.0,7.1,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,157.6
2036085,"St Peter's & St Paul's Primary School, Dungiven",Catholic Maintained,East Londonderry,53.0,7.3,"Drumrane Primary School, Dungiven",Controlled,168.2
3010835,"Kells and Connor Primary School, Ballymena",Controlled,North Antrim,221.0,7.4,"St Colmcilles Primary School, Ballymena",Catholic Maintained,170.2
2032737,"St Colmcille's Primary School, Carrickmore",Catholic Maintained,West Tyrone,415.0,7.4,"Cooley Primary School, Sixmilecross",Controlled,171.7
4011608,Anahilt Primary School,Controlled,Lagan Valley,149.0,7.4,"St Patrick's Primary School, Ballynahinch",Catholic Maintained,172.1
2032294,"St Mary's Primary School, Altinure",Catholic Maintained,East Londonderry,124.0,7.5,Cumber Claudy Primary School,Controlled,176.3
5032699,"St Mary's Primary School, Dunamore",Catholic Maintained,Mid Ulster,180.0,7.5,"Orritor Primary School, Cookstown",Controlled,178.7
3010873,Bushmills Primary School,Controlled,North Antrim,107.0,7.6,"St Patrick's Primary School, Portrush",Catholic Maintained,180.9
3010631,Ballyclare Primary School,Controlled,South Antrim,533.0,7.7,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,187.1
2032662,"St Brigid's Primary School, Mountfield",Catholic Maintained,West Tyrone,62.0,7.8,"Gaelscoil Na gCrann, Omagh",Other Maintained,191.0
5036122,"Jonesborough Primary School, Newry",Catholic Maintained,Newry And Armagh,89.0,7.9,"Dromore Road Primary School, Warrenpoint",Controlled,195.9
2032731,"St Teresa's Primary School, Loughmacrory",Catholic Maintained,West Tyrone,182.0,8.0,"Cooley Primary School, Sixmilecross",Controlled,201.4
2033708,"St Aidan's Primary School, Limavady",Catholic Maintained,East Londonderry,60.0,8.0,"Hezlett Primary School, Coleraine",Controlled,201.5
3016414,"Fairview Primary School, Ballyclare",Controlled,South Antrim,498.0,8.1,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,207.4
3036131,"St Patrick's Primary School, Glenariff",Catholic Maintained,East Antrim,83.0,8.2,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,209.3
3010818,"Moorfields Primary School, Ballymena",Controlled,North Antrim,209.0,8.5,"Braidside Integratead Primary School, Ballymena",GMI,228.2
3010804,"Straidbilly Primary School, Ballymoney",Controlled,North Antrim,87.0,9.5,"St Olcan's Primary School, Ballymoney",Catholic Maintained,284.0
4036016,"St Joseph's Primary School, Killough",Catholic Maintained,South Down,59.0,9.6,Downpatrick Primary School,Controlled,286.9
3010828,"Kilbride Central Primary School, Ballyclare",Controlled,South Antrim,102.0,9.6,Mallusk Controlled Integrated Primary School,Controlled Integrated,287.5
3010802,Ballynure Primary School,Controlled,South Antrim,144.0,9.6,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,289.5
3016444,"Hazelbank Primary School, Ballymena",Controlled,North Antrim,162.0,9.8,"Braidside Integratead Primary School, Ballymena",GMI,299.2
3010850,"Upper Ballyboley Primary School, Ballyclare",Controlled,East Antrim,11.0,9.9,"St Anthony's Primary School, Larne",Catholic Maintained,308.2
4036113,"St Nicholas' Primary School, Downpatrick",Catholic Maintained,South Down,167.0,10.0,Downpatrick Primary School,Controlled,313.0
2036415,"Our Lady of Lourdes Primary School, Greencastle",Catholic Maintained,West Tyrone,115.0,10.0,"Gortin Primary School, Omagh",Controlled,316.7
4031673,"St Mary's Primary School, Ardglass(Dunsford",Catholic Maintained,South Down,87.0,10.0,Portaferry Integrated Primary School,Controlled Integrated,316.8
2032263,"St Canice's Primary School, Feeny",Catholic Maintained,East Londonderry,96.0,10.1,Cumber Claudy Primary School,Controlled,318.1
3030894,"St Mary's Primary School, Cushendall",Catholic Maintained,East Antrim,142.0,10.3,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,335.3
5031088,"Dromintee Primary School, Newry",Catholic Maintained,Newry And Armagh,160.0,10.5,"Bunscoil an Iuir, Newry",Other Maintained,348.9
3030588,"St Mary's Primary School, Rathlin",Catholic Maintained,North Antrim,12.0,10.6,Ballycastle Integrated Primary School,Controlled Integrated,349.9
5036087,"St Mary's Primary School, Mullaghbawn",Catholic Maintained,Newry And Armagh,307.0,10.9,"Bessbrook Primary School, Newry",Controlled,374.5
2031880,"St Ninnidh's Primary School, Derrylin",Catholic Maintained,Fermanagh And South Tyrone,143.0,11.0,"Bunscoil an Traonaigh, Lisnaskea",Other Maintained,382.4
2036181,"St Mary's Primary School, Teemore",Catholic Maintained,Fermanagh And South Tyrone,143.0,11.1,Newtownbutler Primary School,Controlled,385.3
5031148,"St Patrick's Primary School, Crossmaglen",Catholic Maintained,Newry And Armagh,493.0,11.2,"Cortamlet Primary School, Altnamackin",Controlled,397.2
3010404,"Tildarg Primary School, Ballyclare",Controlled,South Antrim,38.0,11.8,Six Mile Integrated Primary School,Controlled Integrated,436.5
2032685,"St Brigid's Primary School, Cranagh",Catholic Maintained,West Tyrone,25.0,11.9,"Gortin Primary School, Omagh",Controlled,446.8
3010726,Dunseverick Primary School,Controlled,North Antrim,91.0,12.3,"Gaelscoil An Chaistil, Ballycastle",Other Maintained,476.6
5030972,"St Oliver Plunkett Primary School, Forkhill",Catholic Maintained,Newry And Armagh,142.0,12.4,"Bunscoil an Iuir, Newry",Other Maintained,479.2
2036213,"St Columban's Primary School, Belcoo",Catholic Maintained,Fermanagh And South Tyrone,94.0,13.1,Florencecourt Primary School,Controlled,538.7
3030708,"Glenann Primary School, Cushendall",Catholic Maintained,East Antrim,55.0,13.2,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,550.8
5031163,"St Brigid's Primary School, Glassdrummond",Catholic Maintained,Newry And Armagh,189.0,13.4,"Cortamlet Primary School, Altnamackin",Controlled,562.4
