De ref,school name,management type,constituency,total enrolment,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,area
1036565,St Kevin's Primary School,Catholic Maintained,Belfast West,566.0,0.6,"Gaelscoil Na Bhfal, Belfast",Other Maintained,1.1
1036075,"St Bride's Primary School, Belfast",Catholic Maintained,Belfast South,838.0,0.6,"Fullerton House Preparatory School, Belfast",Voluntary,1.2
3013301,"Carnmoney Primary School, Newtownabbey",Controlled,South Antrim,378.0,0.6,St Mary's-on-the-Hill Primary School,Catholic Maintained,1.2
1010221,"Springfield Primary School, Belfast",Controlled,Belfast West,177.0,0.6,"St Paul's Primary School, Belfast",Catholic Maintained,1.2
1036624,"St Paul's Primary School, Belfast",Catholic Maintained,Belfast West,336.0,0.6,"Springfield Primary School, Belfast",Controlled,1.2
2032676,"St Patrick's Primary School, Gortin",Catholic Maintained,West Tyrone,84.0,0.6,"Gortin Primary School, Omagh",Controlled,1.2
2016395,"Gortin Primary School, Omagh",Controlled,West Tyrone,63.0,0.6,"St Patrick's Primary School, Gortin",Catholic Maintained,1.2
2036472,"Holy Family Primary School, Derry",Catholic Maintained,Foyle,520.0,0.6,"Gaelscoil Na Daroige, Derry",Other Maintained,1.2
2046687,"Gaelscoil Na Daroige, Derry",Other Maintained,Foyle,114.0,0.6,"Holy Family Primary School, Derry",Catholic Maintained,1.2
4031662,"St Mary's Primary School, Comber",Catholic Maintained,Strangford,84.0,0.6,Comber Primary School,Controlled,1.2
4011588,Comber Primary School,Controlled,Strangford,370.0,0.6,"St Mary's Primary School, Comber",Catholic Maintained,1.2
2012245,Eglinton Primary School,Controlled,Foyle,204.0,0.6,"Broadbridge Primary School, Eglinton",Catholic Maintained,1.2
2032278,"Broadbridge Primary School, Eglinton",Catholic Maintained,Foyle,403.0,0.6,Eglinton Primary School,Controlled,1.2
1016498,"Malvern Primary School, Belfast",Controlled,Belfast West,164.0,0.6,"St Patrick's Primary School, Belfast",Catholic Maintained,1.2
3010486,Larne & Inver Primary School,Controlled,East Antrim,200.0,0.6,"St MacNissi's Primary School, Larne",Catholic Maintained,1.2
4013043,"Leadhill Primary School, Belfast",Controlled,Belfast East,144.0,0.6,"Loughview Integrated Primary School, Belfast",GMI,1.3
4066579,"Loughview Integrated Primary School, Belfast",GMI,Belfast South,471.0,0.6,"Leadhill Primary School, Belfast",Controlled,1.3
1010304,"Greenwood Primary School, Belfast",Controlled,Belfast East,294.0,0.6,"St Joseph's Primary School, Holland Dr",Catholic Maintained,1.3
4036702,"Holy Evangelist Primary School, Belfast",Catholic Maintained,Belfast West,530.0,0.6,Scoil Na Fuiseoige,Other Maintained,1.3
5013019,"Edenderry Primary School, Banbridge",Controlled,Upper Bann,395.0,0.6,"St Mary's Primary School, Banbridge",Catholic Maintained,1.3
2036227,"St Paul's Primary School, Slievemore",Catholic Maintained,Foyle,218.0,0.6,Culmore Primary School,Controlled,1.3
4033307,"St Colman's Primary School, Lisburn",Catholic Maintained,Lagan Valley,393.0,0.7,"Harmony Hill Primary School, Lisburn",Controlled,1.3
4013305,"Harmony Hill Primary School, Lisburn",Controlled,Lagan Valley,659.0,0.7,"St Colman's Primary School, Lisburn",Catholic Maintained,1.3
2032700,"St Joseph's Primary School, Drumquin",Catholic Maintained,West Tyrone,144.0,0.7,"Langfield Primary School, Drumquin",Controlled,1.3
2012671,"Langfield Primary School, Drumquin",Controlled,West Tyrone,18.0,0.7,"St Joseph's Primary School, Drumquin",Catholic Maintained,1.3
3032297,"St Malachy's Primary School, Coleraine",Catholic Maintained,East Londonderry,170.0,0.7,"Killowen Primary School, Coleraine",Controlled,1.3
5012280,Moneymore Primary School,Controlled,Mid Ulster,241.0,0.7,"St Patrick's Primary School, Moneymore",Catholic Maintained,1.4
5036120,"St Patrick's Primary School, Moneymore",Catholic Maintained,Mid Ulster,97.0,0.7,Moneymore Primary School,Controlled,1.4
4033306,"St Aloysius Primary School, Lisburn",Catholic Maintained,Lagan Valley,448.0,0.7,"Knockmore Primary School, Lisburn",Controlled,1.4
4013334,"Knockmore Primary School, Lisburn",Controlled,Lagan Valley,233.0,0.7,"St Aloysius Primary School, Lisburn",Catholic Maintained,1.4
2032287,"Termoncanice Primary School, Limavady",Catholic Maintained,East Londonderry,502.0,0.7,"Drumachose Primary School, Limavady",Controlled,1.4
3056231,Six Mile Integrated Primary School,Controlled Integrated,South Antrim,247.0,0.7,"St Joseph's Primary School, Antrim",Catholic Maintained,1.4
1016242,"Dundela Infants Primary School, Belfast",Controlled,Belfast East,282.0,0.7,"St Joseph's Primary School, Holland Dr",Catholic Maintained,1.4
2046638,"Gaelscoil Ui Dhochartaigh, Strabane",Other Maintained,West Tyrone,152.0,0.7,St Catherine’s Primary School,Catholic Maintained,1.4
2036703,St Catherine’s Primary School,Catholic Maintained,West Tyrone,457.0,0.7,"Gaelscoil Ui Dhochartaigh, Strabane",Other Maintained,1.4
3016264,"The Irish Society's Primary School, Coleraine",Controlled,East Londonderry,417.0,0.7,"St Malachy's Primary School, Coleraine",Catholic Maintained,1.4
1010267,"Nettlefield Primary School, Belfast",Controlled,Belfast South,413.0,0.7,"St Matthew's Primary School, Belfast",Catholic Maintained,1.4
1036505,"St Matthew's Primary School, Belfast",Catholic Maintained,Belfast East,346.0,0.7,"Nettlefield Primary School, Belfast",Controlled,1.4
2036032,"St John's Primary School, Bligh's Lane",Catholic Maintained,Foyle,415.0,0.7,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,1.5
4053308,"Fort Hill Integrated Primary School, Lisburn",Controlled Integrated,Lagan Valley,231.0,0.7,"St Joseph's Primary School, Lisburn",Catholic Maintained,1.5
1016207,"Blythefield Primary School, Belfast",Controlled,Belfast South,192.0,0.7,"St Joseph's Primary School, Slate",Catholic Maintained,1.5
4010807,Lisburn Central Primary School,Controlled,Lagan Valley,213.0,0.7,"St Joseph's Primary School, Lisburn",Catholic Maintained,1.5
1010146,"Euston Street Primary School, Belfast",Controlled,Belfast East,363.0,0.7,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,1.5
4010743,"Largymore Primary School, Lisburn",Controlled,Lagan Valley,194.0,0.7,"Fort Hill Integrated Primary School, Lisburn",Controlled Integrated,1.5
4010885,"Tonagh Primary School, Lisburn",Controlled,Lagan Valley,228.0,0.7,"St Aloysius Primary School, Lisburn",Catholic Maintained,1.6
2046669,"Bunscoil an Traonaigh, Lisnaskea",Other Maintained,Fermanagh And South Tyrone,65.0,0.7,"St Ronan's Primary School, Lisnaskea",Catholic Maintained,1.6
2031901,"St Ronan's Primary School, Lisnaskea",Catholic Maintained,Fermanagh And South Tyrone,355.0,0.7,"Bunscoil an Traonaigh, Lisnaskea",Other Maintained,1.6
4016235,Downpatrick Primary School,Controlled,South Down,206.0,0.7,"Our Lady & St Patrick Primary School, Downpatrick",Catholic Maintained,1.6
4036693,"Our Lady & St Patrick Primary School, Downpatrick",Catholic Maintained,South Down,392.0,0.7,Downpatrick Primary School,Controlled,1.6
2036288,"Good Shepherd Primary School, Derry",Catholic Maintained,Foyle,437.0,0.7,Oakgrove Integrated Primary School,GMI,1.6
2066558,Oakgrove Integrated Primary School,GMI,Foyle,430.0,0.7,"Good Shepherd Primary School, Derry",Catholic Maintained,1.6
2012638,"Edwards Primary School, Castlederg",Controlled,West Tyrone,249.0,0.7,"St Patrick's Primary School, Castlederg",Catholic Maintained,1.6
2036094,"St Patrick's Primary School, Castlederg",Catholic Maintained,West Tyrone,308.0,0.7,"Edwards Primary School, Castlederg",Controlled,1.6
4011632,"Cregagh Primary School, Belfast",Controlled,Belfast East,149.0,0.7,Downey House Preparatory School,Voluntary,1.6
3010646,"Olderfleet Primary School, Larne",Controlled,East Antrim,114.0,0.7,"St MacNissi's Primary School, Larne",Catholic Maintained,1.7
5036545,"St Colman's Primary School, Kilkeel",Catholic Maintained,South Down,229.0,0.7,Kilkeel Primary School,Controlled,1.7
5011649,Kilkeel Primary School,Controlled,South Down,546.0,0.7,"St Colman's Primary School, Kilkeel",Catholic Maintained,1.7
1036688,"St John the Baptist Primary School, Belfast",Catholic Maintained,Belfast West,401.0,0.7,Bunscoil Phobal Feirste,Other Maintained,1.7
4011670,"Clandeboye Primary School, Bangor",Controlled,North Down,297.0,0.7,"St Comgall's Primary School, Bangor",Catholic Maintained,1.7
5036633,"St Francis' Primary School, Lurgan",Catholic Maintained,Upper Bann,808.0,0.7,"Carrick Primary School, Lurgan",Controlled,1.8
5011127,"Carrick Primary School, Lurgan",Controlled,Upper Bann,454.0,0.7,"St Francis' Primary School, Lurgan",Catholic Maintained,1.8
1036048,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,Belfast North,138.0,0.7,Ben Madigan Preparatory School,Voluntary,1.8
5011190,"Tullygally Primary School, Craigavon",Controlled,Upper Bann,269.0,0.8,"St Anthony's Primary School, Craigavon",Catholic Maintained,1.8
5031184,"St Anthony's Primary School, Craigavon",Catholic Maintained,Upper Bann,690.0,0.8,"Tullygally Primary School, Craigavon",Controlled,1.8
4011567,Ballynahinch Primary School,Controlled,Strangford,235.0,0.8,"St Patrick's Primary School, Ballynahinch",Catholic Maintained,1.8
5016080,"Drumgor Primary School, Craigavon",Controlled,Upper Bann,291.0,0.8,"St Anthony's Primary School, Craigavon",Catholic Maintained,1.8
5031176,"St Peter's Primary School, Cloughreagh",Catholic Maintained,Newry And Armagh,363.0,0.8,"Bessbrook Primary School, Newry",Controlled,1.8
1620264,"Victoria College Prep Department, Belfast",Voluntary,Belfast South,136.0,0.8,"St Bride's Primary School, Belfast",Catholic Maintained,1.8
1030327,"Holy Rosary Primary School, Belfast",Catholic Maintained,Belfast South,470.0,0.8,"Forge Integrated Primary School, Belfast",Controlled Integrated,1.8
3030832,"St Comgall's Primary School, Antrim",Catholic Maintained,South Antrim,500.0,0.8,Antrim Primary School,Controlled,1.8
3010829,Antrim Primary School,Controlled,South Antrim,570.0,0.8,"St Comgall's Primary School, Antrim",Catholic Maintained,1.8
4031550,"St Joseph's Primary School, Crossgar",Catholic Maintained,Strangford,130.0,0.8,"Cedar Integrated Primary School, Crossgar",GMI,1.9
1010831,"Cavehill Primary School, Belfast",Controlled,Belfast North,402.0,0.8,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,1.9
1036132,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,Belfast North,424.0,0.8,"Cavehill Primary School, Belfast",Controlled,1.9
1010806,"Finaghy Primary School, Belfast",Controlled,Belfast South,383.0,0.8,"Cranmore Integrated Primary School, Belfast",GMI,1.9
1066580,"Cranmore Integrated Primary School, Belfast",GMI,Belfast South,233.0,0.8,"Finaghy Primary School, Belfast",Controlled,1.9
1016537,"Lowwood Primary School, Belfast",Controlled,Belfast North,243.0,0.8,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,1.9
5036409,"St Ronan's Primary School, Newry",Catholic Maintained,South Down,419.0,0.8,"Windsor Hill Primary School, Newry",Controlled,2.0
1036388,"St Mary's Primary School, Belfast",Catholic Maintained,Belfast West,132.0,0.8,"Malvern Primary School, Belfast",Controlled,2.0
3046653,"Gaelscoil An Chaistil, Ballycastle",Other Maintained,North Antrim,100.0,0.8,"St Patrick's & St Brigid's Primary School, Ballycastle",Catholic Maintained,2.0
2010382,Ebrington Primary School,Controlled,Foyle,480.0,0.8,Oakgrove Integrated Primary School,GMI,2.1
3016058,"Parkhall Primary School, Antrim",Controlled,South Antrim,193.0,0.8,Six Mile Integrated Primary School,Controlled Integrated,2.1
4620051,"Wallace High Preparatory, Lisburn",Voluntary,Lagan Valley,125.0,0.8,"Brownlee Primary School, Lisburn",Controlled,2.1
4610063,Regent House Preparatory,Controlled,Strangford,81.0,0.8,"St Finian's Primary School, Newtownards",Catholic Maintained,2.1
1016604,"Harmony Primary School, Belfast",Controlled,Belfast West,270.0,0.8,"Mercy Primary School, Belfast",Catholic Maintained,2.1
5031133,"St Malachy's Primary School, Armagh",Catholic Maintained,Newry And Armagh,191.0,0.8,"The Armstrong Primary School, Armagh",Controlled,2.2
5010992,Lurgan Model Primary School,Controlled,Upper Bann,231.0,0.8,"St Francis' Primary School, Lurgan",Catholic Maintained,2.2
3010846,"Whiteabbey Primary School, Newtownabbey",Controlled,East Antrim,423.0,0.8,"St James Primary School, Newtownabbey",Catholic Maintained,2.2
4016004,"Londonderry Primary School, Newtownards",Controlled,Strangford,404.0,0.8,"St Finian's Primary School, Newtownards",Catholic Maintained,2.2
2036084,"Steelstown Primary School, Londonderry",Catholic Maintained,Foyle,474.0,0.8,Greenhaw Primary School,Controlled,2.2
2036574,"Bunscoil Cholmcille, Derry",Catholic Maintained,Foyle,151.0,0.8,Greenhaw Primary School,Controlled,2.2
1016059,"Black Mountain Primary School, Belfast",Controlled,Belfast West,182.0,0.8,"St Paul's Primary School, Belfast",Catholic Maintained,2.2
3010816,Randalstown Central Primary School,Controlled,South Antrim,174.0,0.8,"Maine Integrated Primary School, Randalstown",GMI,2.2
3066652,"Maine Integrated Primary School, Randalstown",GMI,South Antrim,152.0,0.8,Randalstown Central Primary School,Controlled,2.2
5012621,Aughnacloy Primary School,Controlled,Fermanagh And South Tyrone,163.0,0.9,"St Mary's Primary School, Aughnacloy",Catholic Maintained,2.3
5036363,"St Mary's Primary School, Aughnacloy",Catholic Maintained,Fermanagh And South Tyrone,112.0,0.9,Aughnacloy Primary School,Controlled,2.3
2032684,"St Lawrence's Primary School, Fintona",Catholic Maintained,West Tyrone,237.0,0.9,"Denamona Primary School, Fintona",Controlled,2.3
2012660,"Denamona Primary School, Fintona",Controlled,West Tyrone,78.0,0.9,"St Lawrence's Primary School, Fintona",Catholic Maintained,2.3
1620020,"Campbell College Junior School, Belfast",Voluntary,Belfast East,203.0,0.9,"Greenwood Primary School, Belfast",Controlled,2.3
2036696,"St Mary's Primary School, Strabane",Catholic Maintained,West Tyrone,705.0,0.9,"Gaelscoil Ui Dhochartaigh, Strabane",Other Maintained,2.3
1010266,"Seaview Primary School, Belfast",Controlled,Belfast North,448.0,0.9,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,2.3
2012711,"Donemana Primary School, Strabane",Controlled,West Tyrone,101.0,0.9,"St Michael's Primary School, Dunamanagh",Catholic Maintained,2.3
2036712,"St Michael's Primary School, Dunamanagh",Catholic Maintained,West Tyrone,76.0,0.9,"Donemana Primary School, Strabane",Controlled,2.3
3036039,"St Mary's Primary School, Glenview",Catholic Maintained,Mid Ulster,274.0,0.9,Maghera Primary School,Controlled,2.3
3012291,Maghera Primary School,Controlled,Mid Ulster,67.0,0.9,"St Mary's Primary School, Glenview",Catholic Maintained,2.3
5016680,"Killyman Primary School, Dungannon",Controlled,Fermanagh And South Tyrone,185.0,0.9,"Laghey Primary School, Dungannon",Catholic Maintained,2.3
5032558,"Laghey Primary School, Dungannon",Catholic Maintained,Fermanagh And South Tyrone,91.0,0.9,"Killyman Primary School, Dungannon",Controlled,2.3
3016063,"Dunclug Primary School, Ballymena",Controlled,North Antrim,161.0,0.9,"St Brigid's Primary School, Ballymena",Catholic Maintained,2.3
5011137,Newtownhamilton Primary School,Controlled,Newry And Armagh,56.0,0.9,"St Michael's Primary School, Newtownhamilton",Catholic Maintained,2.3
5031070,"St Michael's Primary School, Newtownhamilton",Catholic Maintained,Newry And Armagh,71.0,0.9,Newtownhamilton Primary School,Controlled,2.3
4011657,"Lisnasharragh Primary School, Belfast",Controlled,Belfast East,369.0,0.9,"Loughview Integrated Primary School, Belfast",GMI,2.3
2036465,"Chapel Road Primary School, Londonderry",Catholic Maintained,Foyle,193.0,0.9,"Fountain Primary School, Londonderry",Controlled,2.3
5032735,"St Mary's Primary School, Ballygawley",Catholic Maintained,Fermanagh And South Tyrone,138.0,0.9,Richmond Primary School,Controlled,2.4
5016643,Richmond Primary School,Controlled,Fermanagh And South Tyrone,115.0,0.9,"St Mary's Primary School, Ballygawley",Catholic Maintained,2.4
2016426,Limavady Central Primary School,Controlled,East Londonderry,316.0,0.9,"Roe Valley Integrated Primary School, Limavady",GMI,2.5
2066665,"Roe Valley Integrated Primary School, Limavady",GMI,East Londonderry,179.0,0.9,Limavady Central Primary School,Controlled,2.5
1016205,"Fane Street Primary School, Belfast",Controlled,Belfast South,309.0,0.9,"Fullerton House Preparatory School, Belfast",Voluntary,2.5
5031103,"Tannaghmore Primary School, Lurgan",Catholic Maintained,Upper Bann,601.0,0.9,Lurgan Model Primary School,Controlled,2.5
5032262,"Lissan Primary School, Cookstown",Catholic Maintained,Mid Ulster,130.0,0.9,"Churchtown Primary School, Killybasky",Controlled,2.5
5016141,"Churchtown Primary School, Killybasky",Controlled,Mid Ulster,50.0,0.9,"Lissan Primary School, Cookstown",Catholic Maintained,2.5
2036008,"St Patrick's Primary School, Newtownstewart",Catholic Maintained,West Tyrone,100.0,0.9,Newtownstewart Model Primary School,Controlled,2.5
2016262,Newtownstewart Model Primary School,Controlled,West Tyrone,70.0,0.9,"St Patrick's Primary School, Newtownstewart",Catholic Maintained,2.5
2011899,Derrygonnelly Primary School,Controlled,Fermanagh And South Tyrone,57.0,0.9,"St Patrick's Primary School, Derrygonnelly",Catholic Maintained,2.6
2031874,"St Patrick's Primary School, Derrygonnelly",Catholic Maintained,Fermanagh And South Tyrone,129.0,0.9,Derrygonnelly Primary School,Controlled,2.6
2011879,Newtownbutler Primary School,Controlled,Fermanagh And South Tyrone,30.0,0.9,"St Mary's Primary School, Newtownbutler",Catholic Maintained,2.6
2031869,"St Mary's Primary School, Newtownbutler",Catholic Maintained,Fermanagh And South Tyrone,176.0,0.9,Newtownbutler Primary School,Controlled,2.6
1036576,"Holy Child Primary School, Belfast",Catholic Maintained,Belfast West,457.0,0.9,Bunscoil Phobal Feirste,Other Maintained,2.6
3010891,"Fourtowns Primary School, Ahoghill",Controlled,North Antrim,268.0,0.9,"St Paul's Primary School, Ahoghill",Catholic Maintained,2.6
3036683,"St Paul's Primary School, Ahoghill",Catholic Maintained,North Antrim,26.0,0.9,"Fourtowns Primary School, Ahoghill",Controlled,2.6
1620027,Inchmarlo,Voluntary,Belfast South,110.0,0.9,"St Bride's Primary School, Belfast",Catholic Maintained,2.6
1030868,"St Anne's Primary School, Belfast",Catholic Maintained,Belfast South,887.0,0.9,Dunmurry Primary School,Controlled,2.7
4010788,Dunmurry Primary School,Controlled,Lagan Valley,217.0,0.9,"St Anne's Primary School, Belfast",Catholic Maintained,2.7
4016144,"Old Warren Primary School, Lisburn",Controlled,Lagan Valley,137.0,0.9,"St Aloysius Primary School, Lisburn",Catholic Maintained,2.7
3030900,"St Anthony's Primary School, Larne",Catholic Maintained,East Antrim,71.0,0.9,"Linn Primary School, Larne",Controlled,2.7
3010883,"Linn Primary School, Larne",Controlled,East Antrim,408.0,0.9,"St Anthony's Primary School, Larne",Catholic Maintained,2.7
5031126,"Mount St Catherine's Primary School, Armagh",Catholic Maintained,Newry And Armagh,151.0,0.9,Armagh Royal Preparatory Department,Voluntary,2.8
3012284,"D H Christie Memorial Primary School, Coleraine",Controlled,East Londonderry,326.0,0.9,"St John's Primary School, Coleraine",Catholic Maintained,2.8
3010862,"Abbots Cross Primary School, Newtownabbey",Controlled,Belfast North,312.0,1.0,"St James Primary School, Newtownabbey",Catholic Maintained,2.9
2016089,"Gibson Primary School, Omagh",Controlled,West Tyrone,303.0,1.0,"Holy Family Primary School, Omagh",Catholic Maintained,2.9
2036674,"Holy Family Primary School, Omagh",Catholic Maintained,West Tyrone,325.0,1.0,"Gibson Primary School, Omagh",Controlled,2.9
3030688,"Mount St Michael's Primary School, Randalstown",Catholic Maintained,South Antrim,382.0,1.0,Randalstown Central Primary School,Controlled,2.9
2016102,Tempo Primary School,Controlled,Fermanagh And South Tyrone,84.0,1.0,"St Mary's Primary School, Tempo",Catholic Maintained,3.0
2036356,"St Mary's Primary School, Tempo",Catholic Maintained,Fermanagh And South Tyrone,146.0,1.0,Tempo Primary School,Controlled,3.0
2036186,"St Dympna's Primary School, Dromore",Catholic Maintained,West Tyrone,214.0,1.0,"Dromore Primary School, Tyrone",Controlled,3.0
2012707,"Dromore Primary School, Tyrone",Controlled,West Tyrone,38.0,1.0,"St Dympna's Primary School, Dromore",Catholic Maintained,3.0
2030381,"Holy Child Primary School, Derry",Catholic Maintained,Foyle,324.0,1.0,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,3.0
4033040,"St Brigid's Primary School, Downpatrick",Catholic Maintained,South Down,265.0,1.0,Downpatrick Primary School,Controlled,3.1
1010324,"Stranmillis Primary School, Belfast",Controlled,Belfast South,466.0,1.0,"Victoria College Prep Department, Belfast",Voluntary,3.1
4016145,"Killowen Primary School, Lisburn",Controlled,Lagan Valley,421.0,1.0,"Wallace High Preparatory, Lisburn",Voluntary,3.1
5046695,"Gaelscoil Aodha Rua, Dungannon",Other Maintained,Fermanagh And South Tyrone,135.0,1.0,Dungannon Primary School,Controlled,3.2
3016125,Rasharkin Primary School,Controlled,North Antrim,68.0,1.0,"St Patrick's Primary School, Rasharkin",Catholic Maintained,3.2
3033320,"St Patrick's Primary School, Rasharkin",Catholic Maintained,North Antrim,242.0,1.0,Rasharkin Primary School,Controlled,3.2
3066544,"Mill Strand Integrated Primary School, Portrush",GMI,East Londonderry,409.0,1.0,Portrush Primary School,Controlled,3.2
1066531,"Hazelwood Integrated Primary School, Newtownabbey",GMI,Belfast North,450.0,1.0,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,3.2
2011873,"Aghadrumsee Primary School, Roslea",Controlled,Fermanagh And South Tyrone,31.0,1.0,"St Macartan's Primary School, Roslea",Catholic Maintained,3.3
2036659,"St Macartan's Primary School, Roslea",Catholic Maintained,Fermanagh And South Tyrone,81.0,1.0,"Aghadrumsee Primary School, Roslea",Controlled,3.3
3046685,"Gaelscoil Eanna, Glengormley",Other Maintained,Belfast North,213.0,1.0,"Glengormley Integrated Primary School, Newtownabbey",Controlled Integrated,3.3
1010255,"Elmgrove Primary School, Belfast",Controlled,Belfast East,612.0,1.0,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,3.4
3016129,"Carniny Primary School, Ballymena",Controlled,North Antrim,287.0,1.0,"St Colmcilles Primary School, Ballymena",Catholic Maintained,3.4
2012708,Strabane Primary School,Controlled,West Tyrone,272.0,1.0,St Catherine’s Primary School,Catholic Maintained,3.4
3016225,"Woodlawn Primary School, Carrickfergus",Controlled,East Antrim,135.0,1.0,"Central Integrated Primary School, Carrickfergus",Controlled Integrated,3.4
3016038,"Hollybank Primary School, Monkstown",Controlled,East Antrim,184.0,1.0,"St James Primary School, Newtownabbey",Catholic Maintained,3.4
3013323,Mossgrove Primary School,Controlled,Belfast North,230.0,1.0,"Gaelscoil Eanna, Glengormley",Other Maintained,3.4
3013325,"Leaney Primary School, Ballymoney",Controlled,North Antrim,287.0,1.0,"St Brigid's Primary School, Ballymoney",Catholic Maintained,3.4
3016170,"Ballyhenry Primary School, Newtownabbey",Controlled,Belfast North,152.0,1.0,St Mary's-on-the-Hill Primary School,Catholic Maintained,3.5
3012269,"Kilrea Primary School, Coleraine",Controlled,East Londonderry,90.0,1.1,"St Columba's Primary School, Kilrea",Catholic Maintained,3.6
3036147,"St Columba's Primary School, Kilrea",Catholic Maintained,East Londonderry,258.0,1.1,"Kilrea Primary School, Coleraine",Controlled,3.6
1016076,Ballysillan Primary School,Controlled,Belfast North,223.0,1.1,St Vincent de Paul Primary School,Catholic Maintained,3.6
5046241,"The Drelincourt, Church of Ireland, Armagh",Other Maintained,Newry And Armagh,9.0,1.1,"The Armstrong Primary School, Armagh",Controlled,3.7
4011345,Newtownards Model Primary School,Controlled,Strangford,396.0,1.1,"St Finian's Primary School, Newtownards",Catholic Maintained,3.7
2036459,"St Theresa's Primary School, Glebe",Catholic Maintained,West Tyrone,81.0,1.1,Sion Mills Primary School,Controlled Integrated,3.7
2056442,Sion Mills Primary School,Controlled Integrated,West Tyrone,235.0,1.1,"St Theresa's Primary School, Glebe",Catholic Maintained,3.7
4036591,"Our Lady Queen of Peace Primary School, Belfast",Catholic Maintained,Belfast West,369.0,1.1,Scoil Na Fuiseoige,Other Maintained,3.7
5066554,"Windmill Integrated Primary School, Dungannon",GMI,Fermanagh And South Tyrone,245.0,1.1,"St Patrick's Primary School, Dungannon",Catholic Maintained,3.8
5031183,"St Patrick's Primary School, Armagh",Catholic Maintained,Newry And Armagh,402.0,1.1,Armagh Royal Preparatory Department,Voluntary,3.8
2036449,"Christ the King Primary School, Omagh",Catholic Maintained,West Tyrone,196.0,1.1,"Gibson Primary School, Omagh",Controlled,3.9
5011129,"Hart Memorial Primary School, Portadown",Controlled,Upper Bann,448.0,1.1,"Presentation Primary School, Portadown",Catholic Maintained,3.9
3013331,Ballycraigy Primary School,Controlled,South Antrim,147.0,1.1,"St Joseph's Primary School, Antrim",Catholic Maintained,4.0
3016249,"Earlview Primary School, Newtownabbey",Controlled,South Antrim,205.0,1.1,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,4.1
5016138,"Bocombra Primary School, Portadown",Controlled,Upper Bann,359.0,1.1,Portadown Integrated Primary School,GMI,4.1
2016203,Lisnagelvin Primary School,Controlled,Foyle,572.0,1.2,"Chapel Road Primary School, Londonderry",Catholic Maintained,4.2
2016218,Lisbellaw Primary School,Controlled,Fermanagh And South Tyrone,199.0,1.2,"Tattygar Primary School, Lisbellaw",Catholic Maintained,4.3
2031863,"Tattygar Primary School, Lisbellaw",Catholic Maintained,Fermanagh And South Tyrone,59.0,1.2,Lisbellaw Primary School,Controlled,4.3
2012691,Omagh County Primary School,Controlled,West Tyrone,376.0,1.2,"Holy Family Primary School, Omagh",Catholic Maintained,4.3
3050859,Crumlin Integrated Primary School,Controlled Integrated,South Antrim,150.0,1.2,"St Joseph's Primary School, Crumlin",Catholic Maintained,4.3
3010781,"Harryville Primary School, Ballymena",Controlled,North Antrim,228.0,1.2,"St Colmcilles Primary School, Ballymena",Catholic Maintained,4.3
5031158,"St Patrick's Primary School, Newry",Catholic Maintained,Newry And Armagh,457.0,1.2,"Windsor Hill Primary School, Newry",Controlled,4.3
3056248,Round Tower Integrated Primary School,Controlled Integrated,South Antrim,252.0,1.2,"St Comgall's Primary School, Antrim",Catholic Maintained,4.4
2036259,"Sacred Heart Primary School, Trench Road",Catholic Maintained,Foyle,424.0,1.2,"Fountain Primary School, Londonderry",Controlled,4.4
1010273,"Orangefield Primary School, Belfast",Controlled,Belfast East,460.0,1.2,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,4.5
4051680,Bangor Central Integrated Primary School,Controlled Integrated,North Down,486.0,1.2,"St Comgall's Primary School, Bangor",Catholic Maintained,4.6
5066578,Saints and Scholars Integrated Primary School,GMI,Newry And Armagh,316.0,1.2,"The Drelincourt, Church of Ireland, Armagh",Other Maintained,4.6
2036473,"St Eithne's Primary School, Londonderry",Catholic Maintained,Foyle,311.0,1.2,"Gaelscoil Na Daroige, Derry",Other Maintained,4.6
5036101,"St Brendan's Primary School, Craigavon",Catholic Maintained,Upper Bann,397.0,1.2,"Drumgor Primary School, Craigavon",Controlled,4.7
2036461,"St Therese Primary School, Lenamore",Catholic Maintained,Foyle,354.0,1.2,Greenhaw Primary School,Controlled,4.7
5032736,"St Mary's Primary School, Fivemiletown",Catholic Maintained,Fermanagh And South Tyrone,49.0,1.3,Fivemiletown Primary School,Controlled,5.0
5016088,Fivemiletown Primary School,Controlled,Fermanagh And South Tyrone,213.0,1.3,"St Mary's Primary School, Fivemiletown",Catholic Maintained,5.0
5036463,"St Joseph's Primary School, Caledon",Catholic Maintained,Fermanagh And South Tyrone,29.0,1.3,"Churchill Primary School, Caledon",Controlled,5.2
