De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude,nearest_distance,nearest_school,nearest_management_type,nearest_same_management_distance,nearest_same_management_school,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,Sustainability,geom
1010304,"Greenwood Primary School, Belfast",Belfast,BT4 3HS,Controlled,Belfast East,URBAN,294.0,54.59561,-5.861099,0.5245959069041609,"Belmont Primary School, Belfast",Controlled,0.5245959069041609,"Belmont Primary School, Belfast",0.6355159693788216,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Sustainable,POINT (-5.861099 54.59561)
1010307,"Springhill Primary School, Belfast",Belfast,BT13 3NH,Controlled,Belfast West,URBAN,195.0,54.605993,-5.978496,0.6241200316486376,"Black Mountain Primary School, Belfast",Controlled,0.6241200316486376,"Black Mountain Primary School, Belfast",1.3215109087510508,"Mercy Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.978496 54.605993)
1010323,"Edenbrooke Primary School, Belfast",Belfast,BT13 3GG,Controlled,Belfast North,URBAN,367.0,54.609933,-5.953627,0.4846173898382459,"Glenwood Primary School, Belfast",Controlled,0.4846173898382459,"Glenwood Primary School, Belfast",0.5547950234346488,"Holy Cross Boys' Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.953627 54.609933)
1010324,"Stranmillis Primary School, Belfast",Belfast,BT9 5EH,Controlled,Belfast South,URBAN,466.0,54.567386,-5.937621,0.9882754356764223,"Victoria College Prep Department, Belfast",Voluntary,1.6906795666680052,Rosetta Primary School,0.9882754356764223,"Victoria College Prep Department, Belfast",Voluntary,Sustainable,POINT (-5.937621 54.567386)
1010325,"Ligoniel Primary School, Belfast",Belfast,BT14 8BW,Controlled,Belfast North,URBAN,197.0,54.62425,-5.978984,0.3755625460018084,St Vincent de Paul Primary School,Catholic Maintained,0.9620621133716964,Ballysillan Primary School,0.3755625460018084,St Vincent de Paul Primary School,Catholic Maintained,Sustainable,POINT (-5.978984 54.62425)
1010806,"Finaghy Primary School, Belfast",Belfast,BT10 0DR,Controlled,Belfast South,URBAN,383.0,54.560269,-5.983898,0.7759347643925627,"Cranmore Integrated Primary School, Belfast",GMI,1.0442900218980242,"Taughmonagh Primary School, Belfast",0.7759347643925627,"Cranmore Integrated Primary School, Belfast",GMI,Sustainable,POINT (-5.983898 54.560269)
1010831,"Cavehill Primary School, Belfast",Belfast,BT15 5FG,Controlled,Belfast North,URBAN,402.0,54.635449,-5.947218,0.7759008183112291,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,1.466202248676576,"Lowwood Primary School, Belfast",0.7759008183112291,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.947218 54.635449)
1013018,"Knocknagoney Primary School, Belfast",Belfast,BT4 2NR,Controlled,Belfast East,URBAN,249.0,54.618774,-5.85352,1.9399619104095582,"Campbell College Junior School, Belfast",Voluntary,2.3848464934965876,"Belmont Primary School, Belfast",1.9399619104095582,"Campbell College Junior School, Belfast",Voluntary,Sustainable,POINT (-5.85352 54.618774)
1016059,"Black Mountain Primary School, Belfast",Belfast,BT13 3TT,Controlled,Belfast West,URBAN,182.0,54.600382,-5.978248,0.580914261124223,"Springfield Primary School, Belfast",Controlled,0.580914261124223,"Springfield Primary School, Belfast",0.8434216605803203,"St Paul's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.978248 54.600382)
1016060,"Donegall Road Primary School, Belfast",Belfast,BT12 6HE,Controlled,Belfast South,URBAN,209.0,54.589134,-5.95317,0.45128510123298676,"Fane Street Primary School, Belfast",Controlled,0.45128510123298676,"Fane Street Primary School, Belfast",0.577523280908805,"Gaelscoil Na Bhfal, Belfast",Other Maintained,Sustainable,POINT (-5.95317 54.589134)
1016076,Ballysillan Primary School,Belfast,BT14 8LT,Controlled,Belfast North,URBAN,223.0,54.630789,-5.969197,0.8588604992749961,"Carr's Glen Primary School, Belfast",Controlled,0.8588604992749961,"Carr's Glen Primary School, Belfast",1.0668206573268426,St Vincent de Paul Primary School,Catholic Maintained,Sustainable,POINT (-5.969197 54.630789)
1016205,"Fane Street Primary School, Belfast",Belfast,BT9 7BW,Controlled,Belfast South,URBAN,309.0,54.585229,-5.951262,0.45128510123298676,"Donegall Road Primary School, Belfast",Controlled,0.45128510123298676,"Donegall Road Primary School, Belfast",0.8894835283404737,"Fullerton House Preparatory School, Belfast",Voluntary,Sustainable,POINT (-5.951262 54.585229)
1016207,"Blythefield Primary School, Belfast",Belfast,BT12 5HX,Controlled,Belfast South,URBAN,192.0,54.590606,-5.940935,0.6920886042812214,"St Joseph's Primary School, Slate",Catholic Maintained,0.8051054332443132,"Donegall Road Primary School, Belfast",0.6920886042812214,"St Joseph's Primary School, Slate",Catholic Maintained,Sustainable,POINT (-5.940935 54.590606)
1016242,"Dundela Infants Primary School, Belfast",Belfast,BT4 3BL,Controlled,Belfast East,URBAN,282.0,54.599769,-5.876341,0.2681822880289395,"Strandtown Primary School, Belfast",Controlled,0.2681822880289395,"Strandtown Primary School, Belfast",0.6674038496429695,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Sustainable,POINT (-5.876341 54.599769)
1016485,"Glenwood Primary School, Belfast",Belfast,BT13 3GW,Controlled,Belfast North,URBAN,508.0,54.605844,-5.956231,0.4846173898382459,"Edenbrooke Primary School, Belfast",Controlled,0.4846173898382459,"Edenbrooke Primary School, Belfast",0.5607847499877106,"St Clare's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.956231 54.605844)
1016498,"Malvern Primary School, Belfast",Belfast,BT13 1HW,Controlled,Belfast West,URBAN,164.0,54.606006,-5.944089,0.6256545399514299,"St Patrick's Primary School, Belfast",Catholic Maintained,0.7536454057623057,"Edenbrooke Primary School, Belfast",0.6256545399514299,"St Patrick's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.944089 54.606006)
1016499,"Botanic Primary School, Belfast",Belfast,BT7 1QY,Controlled,Belfast South,URBAN,210.0,54.582133,-5.929312,0.5777726331489994,"Fullerton House Preparatory School, Belfast",Voluntary,1.2035559965868332,"Blythefield Primary School, Belfast",0.5777726331489994,"Fullerton House Preparatory School, Belfast",Voluntary,Sustainable,POINT (-5.929312 54.582133)
1016532,"Wheatfield Primary School, Belfast",Belfast,BT14 7JE,Controlled,Belfast North,URBAN,176.0,54.61958,-5.963036,0.32687619265270224,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,0.534730685372183,"Carr's Glen Primary School, Belfast",0.32687619265270224,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.963036 54.61958)
1016537,"Lowwood Primary School, Belfast",Belfast,BT15 4BL,Controlled,Belfast North,URBAN,243.0,54.634469,-5.924499,0.7856382134314432,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,0.8767960951036787,"Seaview Primary School, Belfast",0.7856382134314432,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.924499 54.634469)
1016604,"Harmony Primary School, Belfast",Belfast,BT13 3SY,Controlled,Belfast West,URBAN,270.0,54.615622286274096,-5.9826709693148885,0.8218488515570785,"Mercy Primary School, Belfast",Catholic Maintained,0.9029522658127789,"Forth River Primary School, Belfast",0.8218488515570785,"Mercy Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.9826709693148885 54.615622286274096)
1016647,"Bunscoil Mhic Reachtain, Belfast",Belfast,BT15 1EZ,Controlled,Belfast North,URBAN,50.0,54.606314,-5.929988,0.4484619709164242,"St Patrick's Primary School, Belfast",Catholic Maintained,0.9087988966774027,"Malvern Primary School, Belfast",0.4484619709164242,"St Patrick's Primary School, Belfast",Catholic Maintained,Not Sustainable,POINT (-5.929988 54.606314)
1016655,Victoria Park Primary School,Belfast,BT4 1LX,Controlled,Belfast East,URBAN,373.0,54.604443,-5.882118,0.6391950203845528,"Dundela Infants Primary School, Belfast",Controlled,0.6391950203845528,"Dundela Infants Primary School, Belfast",1.3059942985223787,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Sustainable,POINT (-5.882118 54.604443)
1030194,"Holy Cross Boys' Primary School, Belfast",Belfast,BT14 7EX,Catholic Maintained,Belfast North,URBAN,397.0,54.613824,-5.95902,0.5547950234346488,"Edenbrooke Primary School, Belfast",Controlled,0.6392830717561655,"Sacred Heart Primary School, Belfast",0.5547950234346488,"Edenbrooke Primary School, Belfast",Controlled,Sustainable,POINT (-5.95902 54.613824)
