De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude
1036697,"John Paul II Primary School, Belfast",Belfast,BT12 7FW,Catholic Maintained,Belfast West,URBAN,319.0,54.594043,-5.987119
1036698,"St Patrick's Primary School, Belfast",Belfast,BT15 2BN,Catholic Maintained,Belfast North,URBAN,428.0,54.608719,-5.935578
1046501,Bunscoil Phobal Feirste,Belfast,BT11 9QS,Other Maintained,Belfast West,URBAN,421.0,54.574239,-6.004938
1046571,"Gaelscoil Na Bhfal, Belfast",Belfast,BT12 6AW,Other Maintained,Belfast West,URBAN,216.0,54.590618,-5.96176
1046593,"Bunscoil an Tsleibhe Dhuibh, Belfast",Belfast,BT12 7JL,Other Maintained,Belfast West,URBAN,220.0,54.592225,-5.980463
1046596,Bunscoil Bheann Mhadagain,Belfast,BT14 6LA,Other Maintained,Belfast North,URBAN,199.0,54.616419,-5.945081
1046641,"Scoil an Droichid, Belfast",Belfast,BT7 2EP,Other Maintained,Belfast South,URBAN,191.0,54.588406,-5.922093
1046671,"Gaelscoil na Mona, Belfast",Belfast,BT11 8QB,Other Maintained,Belfast West,URBAN,113.0,54.586173,-5.993123
1046672,"Gaelscoil an Lonnain, Belfast",Belfast,BT12 4PD,Other Maintained,Belfast West,URBAN,46.0,54.598146,-5.952671
1050232,"Harding Memorial Integrated Primary School, Belfast",Belfast,BT6 8PZ,Controlled Integrated,Belfast South,URBAN,218.0,54.582608,-5.89852
1056483,"Cliftonville Integrated Primary School, Belfast",Belfast,BT14 6JQ,Controlled Integrated,Belfast North,URBAN,408.0,54.617719,-5.946517
1056535,"Forge Integrated Primary School, Belfast",Belfast,BT7 3HE,Controlled Integrated,Belfast South,URBAN,394.0,54.571426,-5.914854
1066531,"Hazelwood Integrated Primary School, Newtownabbey",Newtownabbey,BT36 7EN,GMI,Belfast North,URBAN,450.0,54.653708,-5.930399
1066580,"Cranmore Integrated Primary School, Belfast",Belfast,BT10 0JB,GMI,Belfast South,URBAN,233.0,54.567245,-5.9836
1620022,"Fullerton House Preparatory School, Belfast",Belfast,BT9 6BY,Voluntary,Belfast South,URBAN,142.0,54.582564,-5.938247
1620027,Inchmarlo,Belfast,BT9 6JR,Voluntary,Belfast South,URBAN,110.0,54.571507,-5.952244
1620028,Ben Madigan Preparatory School,Belfast,BT15 5GP,Voluntary,Belfast North,URBAN,104.0,54.642463,-5.936423
1620089,"Strathearn Preparatory School, Belfast",Belfast,BT4 2AU,Voluntary,Belfast East,URBAN,131.0,54.601525,-5.860742
1620264,"Victoria College Prep Department, Belfast",Belfast,BT9 6JA,Voluntary,Belfast South,URBAN,136.0,54.572426,-5.950249
2010380,Londonderry Model Primary School,Londonderry,BT48 7HJ,Controlled,Foyle,URBAN,281.0,55.001857,-7.327068
2010382,Ebrington Primary School,Londonderry,BT47 6LR,Controlled,Foyle,URBAN,480.0,55.00355,-7.294566
2011787,Kesh Primary School,Kesh,BT93 1RF,Controlled,Fermanagh And South Tyrone,RURAL,244.0,54.5185,-7.724128
2011789,"Moat Primary School, Lisnaskea",Lisnaskea,BT92 0JH,Controlled,Fermanagh And South Tyrone,RURAL,135.0,54.250571,-7.441829
2011860,Belleek No 2 Primary School,Belleek,BT93 3EZ,Controlled,Fermanagh And South Tyrone,RURAL,32.0,54.478584,-8.088848
2011873,"Aghadrumsee Primary School, Roslea",Rosslea,BT92 7AU,Controlled,Fermanagh And South Tyrone,RURAL,31.0,54.228318,-7.273448
2011879,Newtownbutler Primary School,Newtownbutler,BT92 8JE,Controlled,Fermanagh And South Tyrone,RURAL,30.0,54.184655,-7.363636
2011881,Florencecourt Primary School,Enniskillen,BT92 1BZ,Controlled,Fermanagh And South Tyrone,RURAL,140.0,54.267656,-7.705226
2011893,Ballinamallard Primary School,Ballinamallard,BT94 2NY,Controlled,Fermanagh And South Tyrone,RURAL,153.0,54.423759,-7.595463
2011894,Brookeborough Primary School,Brookeborough,BT94 4EZ,Controlled,Fermanagh And South Tyrone,RURAL,64.0,54.315124,-7.405276
2011899,Derrygonnelly Primary School,Derrygonnelly,BT93 6HY,Controlled,Fermanagh And South Tyrone,RURAL,57.0,54.418231,-7.814745
2012052,Culmore Primary School,Londonderry,BT48 8JH,Controlled,Foyle,RURAL,55.0,55.047404,-7.2733
2012095,Ballougry Primary School,Londonderry,BT48 9XN,Controlled,Foyle,RURAL,38.0,54.973231,-7.381453
2012227,Drumahoe Primary School,Londonderry,BT47 3SD,Controlled,Foyle,URBAN,277.0,54.978992,-7.274787
2012245,Eglinton Primary School,Londonderry,BT47 3AH,Controlled,Foyle,RURAL,204.0,55.022296,-7.181148
2012261,Newbuildings Primary School,New Buildings,BT47 2RL,Controlled,Foyle,RURAL,183.0,54.959422,-7.358562
2012298,Ballykelly Primary School,Ballykelly,BT49 9JS,Controlled,East Londonderry,RURAL,293.0,55.036151,-7.018907
2012344,"McClintock Primary School, Seskinore",Omagh,BT78 1UQ,Controlled,West Tyrone,RURAL,119.0,54.516792,-7.252568
2012638,"Edwards Primary School, Castlederg",Castlederg,BT81 7HY,Controlled,West Tyrone,RURAL,249.0,54.712165,-7.587335
2012641,"Killen Primary School, Castlederg",Killen,BT81 7SD,Controlled,West Tyrone,RURAL,140.0,54.676376,-7.62298
2012648,"Gillygooley Primary School, Omagh",Omagh,BT78 5PX,Controlled,West Tyrone,RURAL,19.0,54.611252,-7.386787
